intensity_case,S0,dmax,Nx,Ny,Tmax_C,Tmean_C,time_s
homogenea_I1,100000.0,0.0005,121,61,73.1797025719215,41.77794155030472,2.0668711679973057
homogenea_I1,-100000.0,0.0005,121,61,52.92501787878946,34.774122040629855,1.9965026720019523
homogenea_I1,500000.0,0.0005,121,61,115.21905658416975,55.78558056965444,1.9497690179996425
homogenea_I1,-500000.0,0.0005,121,61,40.52096358205766,20.766483021280134,2.150179180003761
homogenea_I1,1000000.0,0.0005,121,61,167.7897105804893,73.2951293438416,1.9778736369989929
homogenea_I1,-1000000.0,0.0005,121,61,40.32916145774155,3.2569342470929885,2.017505709998659
espinha_100_resto_0p1,100000.0,0.0005,121,61,143.92317832125428,56.6763869525625,1.9549708909980836
espinha_100_resto_0p1,-100000.0,0.0005,121,61,40.568188455154804,19.875676638372074,1.9878460460022325
espinha_100_resto_0p1,500000.0,0.0005,121,61,468.76906881349646,130.27780758094337,1.950546240004769
espinha_100_resto_0p1,-500000.0,0.0005,121,61,40.028891452396124,-53.72574399000876,2.0256245359996683
espinha_100_resto_0p1,1000000.0,0.0005,121,61,874.8264319287991,222.27958336641944,1.9791624229983427
espinha_100_resto_0p1,-1000000.0,0.0005,121,61,39.61063464149174,-145.72751977548484,2.0835511529949144
